Transaction_ID,Account_ID,Transaction_Amount,Transaction_Type,Merchant,Location,Time,Fraud_Flag
TID_1,ACCT_4,1759.45,In-store,Target,New York,2025-06-25 11:22:27.619308,1
TID_2,ACCT_3,1362.5,Online,eBay,Los Angeles,2025-07-13 11:22:27.619308,1
TID_3,ACCT_45,539.65,In-store,Best Buy,San Francisco,2025-07-08 11:22:27.619308,1
TID_4,ACCT_48,444.01,Online,Amazon,Los Angeles,2025-07-07 11:22:27.619308,1
TID_5,ACCT_47,1213.52,Online,Walmart,Los Angeles,2025-07-14 11:22:27.619308,0
TID_6,ACCT_40,1207.47,Online,Walmart,Los Angeles,2025-06-22 11:22:27.619308,0
TID_7,ACCT_4,1256.29,Online,Amazon,Los Angeles,2025-06-15 11:22:27.619308,1
TID_8,ACCT_100,620.21,In-store,eBay,Miami,2025-07-10 11:22:27.619308,0
TID_9,ACCT_62,182.55,In-store,Walmart,San Francisco,2025-07-12 11:22:27.619308,0
TID_10,ACCT_37,1937.12,Online,Target,New York,2025-07-13 11:22:27.619308,0
TID_11,ACCT_34,1276.9,In-store,eBay,Chicago,2025-07-05 11:22:27.619308,1
TID_12,ACCT_49,1163.37,In-store,Amazon,Chicago,2025-07-15 11:22:27.619308,0
TID_13,ACCT_47,289.39,In-store,Best Buy,Los Angeles,2025-06-18 11:22:27.619308,0
TID_14,ACCT_58,725.41,Online,Walmart,New York,2025-07-14 11:22:27.619308,0
TID_15,ACCT_31,1238.67,Online,eBay,New York,2025-06-15 11:22:27.619308,1
TID_16,ACCT_71,1443.05,In-store,Amazon,San Francisco,2025-06-30 11:22:27.619308,0
TID_17,ACCT_72,138.13,Online,Best Buy,Chicago,2025-06-29 11:22:27.619308,0
TID_18,ACCT_36,1104.12,Online,Walmart,San Francisco,2025-06-21 11:22:27.619308,1
TID_19,ACCT_1,1267.03,Online,Walmart,Chicago,2025-06-28 11:22:27.619308,0
TID_20,ACCT_57,996.61,Online,eBay,Miami,2025-06-19 11:22:27.619308,0
TID_21,ACCT_49,1939.77,Online,Amazon,San Francisco,2025-07-09 11:22:27.619308,0
TID_22,ACCT_78,672.53,In-store,Amazon,San Francisco,2025-06-22 11:22:27.619308,0
TID_23,ACCT_78,342.72,In-store,Best Buy,Los Angeles,2025-06-15 11:22:27.619308,0
TID_24,ACCT_71,521.73,Online,Best Buy,New York,2025-06-21 11:22:27.619308,0
TID_25,ACCT_73,1644.26,In-store,Walmart,San Francisco,2025-07-05 11:22:27.619308,1
TID_26,ACCT_75,454.63,Online,Walmart,Los Angeles,2025-07-11 11:22:27.619308,1
TID_27,ACCT_76,906.57,Online,eBay,Miami,2025-07-11 11:22:27.619308,1
TID_28,ACCT_87,214.04,In-store,Best Buy,San Francisco,2025-06-26 11:22:27.619308,0
TID_29,ACCT_35,1993.09,Online,Best Buy,Miami,2025-07-04 11:22:27.619308,1
TID_30,ACCT_95,1484.66,Online,eBay,San Francisco,2025-06-27 11:22:27.619308,1
TID_31,ACCT_27,1518.93,Online,Walmart,Miami,2025-07-08 11:22:27.619308,0
TID_32,ACCT_4,1936.17,Online,Walmart,Los Angeles,2025-07-04 11:22:27.619308,0
TID_33,ACCT_28,1934.28,Online,Best Buy,Miami,2025-07-07 11:22:27.619308,1
TID_34,ACCT_29,1188.75,In-store,Walmart,San Francisco,2025-07-06 11:22:27.619308,0
TID_35,ACCT_22,1525.8,In-store,Target,New York,2025-07-04 11:22:27.619308,1
TID_36,ACCT_3,756.01,Online,eBay,Chicago,2025-07-01 11:22:27.619308,0
TID_37,ACCT_48,545.77,In-store,eBay,San Francisco,2025-06-22 11:22:27.619308,1
TID_38,ACCT_27,544.42,Online,Walmart,Los Angeles,2025-07-14 11:22:27.619308,0
TID_39,ACCT_1,1420.25,Online,Target,Los Angeles,2025-06-28 11:22:27.619308,0
TID_40,ACCT_68,256.28,Online,eBay,Los Angeles,2025-07-11 11:22:27.619308,1
TID_41,ACCT_66,1086.86,Online,eBay,New York,2025-06-20 11:22:27.619308,1
TID_42,ACCT_75,652.1,Online,Best Buy,New York,2025-06-21 11:22:27.619308,1
TID_43,ACCT_73,1547.29,Online,eBay,New York,2025-07-10 11:22:27.619308,1
TID_44,ACCT_49,1707.18,In-store,Best Buy,New York,2025-07-12 11:22:27.619308,1
TID_45,ACCT_89,1170.4,In-store,Target,Miami,2025-07-11 11:22:27.619308,1
TID_46,ACCT_63,465.0,In-store,Best Buy,San Francisco,2025-06-17 11:22:27.619308,1
TID_47,ACCT_49,1454.71,In-store,Target,Los Angeles,2025-06-19 11:22:27.619308,1
TID_48,ACCT_8,78.6,Online,Best Buy,San Francisco,2025-07-08 11:22:27.619308,0
TID_49,ACCT_14,1461.19,Online,Walmart,Los Angeles,2025-06-24 11:22:27.619308,1
TID_50,ACCT_14,507.85,Online,Target,Miami,2025-07-04 11:22:27.619308,0
TID_51,ACCT_56,986.17,In-store,Amazon,San Francisco,2025-06-29 11:22:27.619308,0
TID_52,ACCT_21,1004.52,Online,Best Buy,New York,2025-06-25 11:22:27.619308,0
TID_53,ACCT_45,904.81,In-store,Best Buy,Chicago,2025-07-10 11:22:27.619308,0
TID_54,ACCT_20,268.11,Online,Best Buy,San Francisco,2025-07-08 11:22:27.619308,1
TID_55,ACCT_97,200.73,In-store,Best Buy,New York,2025-06-30 11:22:27.619308,1
TID_56,ACCT_79,488.19,In-store,Amazon,San Francisco,2025-06-22 11:22:27.619308,1
TID_57,ACCT_55,1558.79,Online,Amazon,Los Angeles,2025-07-03 11:22:27.619308,1
TID_58,ACCT_33,739.85,Online,Best Buy,New York,2025-06-25 11:22:27.619308,1
TID_59,ACCT_34,1296.01,In-store,eBay,Los Angeles,2025-07-15 11:22:27.619308,1
TID_60,ACCT_78,1539.41,Online,Target,New York,2025-07-15 11:22:27.619308,0
TID_61,ACCT_72,1814.25,Online,Amazon,Los Angeles,2025-06-23 11:22:27.619308,1
TID_62,ACCT_74,646.39,In-store,Target,New York,2025-07-02 11:22:27.619308,1
TID_63,ACCT_37,1381.41,In-store,eBay,San Francisco,2025-06-19 11:22:27.619308,1
TID_64,ACCT_15,388.45,Online,Walmart,Chicago,2025-07-13 11:22:27.619308,0
TID_65,ACCT_76,1672.33,In-store,eBay,New York,2025-07-13 11:22:27.619308,0
TID_66,ACCT_51,1354.92,Online,eBay,Miami,2025-07-13 11:22:27.619308,0
TID_67,ACCT_73,681.12,In-store,eBay,San Francisco,2025-07-03 11:22:27.619308,1
TID_68,ACCT_28,1286.52,In-store,Amazon,Los Angeles,2025-07-03 11:22:27.619308,1
TID_69,ACCT_10,1724.28,Online,Best Buy,New York,2025-07-02 11:22:27.619308,1
TID_70,ACCT_40,1406.51,Online,Walmart,Chicago,2025-07-08 11:22:27.619308,1
TID_71,ACCT_47,1985.07,Online,eBay,Chicago,2025-06-23 11:22:27.619308,0
TID_72,ACCT_78,868.67,Online,Best Buy,Chicago,2025-07-02 11:22:27.619308,1
TID_73,ACCT_85,929.93,Online,eBay,San Francisco,2025-07-04 11:22:27.619308,0
TID_74,ACCT_18,204.48,In-store,Best Buy,New York,2025-07-11 11:22:27.619308,0
TID_75,ACCT_4,1042.61,In-store,eBay,Los Angeles,2025-07-08 11:22:27.619308,1
TID_76,ACCT_87,1993.02,In-store,Best Buy,New York,2025-06-28 11:22:27.619308,1
TID_77,ACCT_42,1924.1,In-store,Best Buy,Los Angeles,2025-07-09 11:22:27.619308,1
TID_78,ACCT_72,1707.89,Online,eBay,Los Angeles,2025-06-17 11:22:27.619308,0
TID_79,ACCT_51,114.93,Online,Target,Los Angeles,2025-06-26 11:22:27.619308,1
TID_80,ACCT_30,751.08,Online,Walmart,New York,2025-07-01 11:22:27.619308,0
TID_81,ACCT_33,901.06,In-store,Walmart,Chicago,2025-07-04 11:22:27.619308,0
TID_82,ACCT_62,277.15,Online,Best Buy,New York,2025-06-28 11:22:27.619308,0
TID_83,ACCT_57,662.7,Online,Target,San Francisco,2025-07-08 11:22:27.619308,1
TID_84,ACCT_94,185.78,Online,Target,Miami,2025-07-04 11:22:27.619308,0
TID_85,ACCT_56,657.86,In-store,Target,Los Angeles,2025-06-17 11:22:27.620640,1
TID_86,ACCT_57,1308.2,In-store,Best Buy,San Francisco,2025-06-28 11:22:27.620640,0
TID_87,ACCT_92,383.61,Online,Best Buy,Los Angeles,2025-07-14 11:22:27.620640,1
TID_88,ACCT_47,239.04,Online,Best Buy,New York,2025-07-02 11:22:27.620640,0
TID_89,ACCT_88,442.44,Online,Walmart,Chicago,2025-06-29 11:22:27.620640,1
TID_90,ACCT_46,1409.88,Online,Amazon,Los Angeles,2025-07-12 11:22:27.620640,1
TID_91,ACCT_77,1867.52,Online,Best Buy,Chicago,2025-06-30 11:22:27.620640,0
TID_92,ACCT_70,1004.14,Online,eBay,Los Angeles,2025-07-02 11:22:27.620640,0
TID_93,ACCT_68,1531.39,Online,eBay,San Francisco,2025-06-25 11:22:27.620640,1
TID_94,ACCT_53,952.14,Online,eBay,San Francisco,2025-07-04 11:22:27.620640,0
TID_95,ACCT_69,348.26,In-store,Walmart,New York,2025-06-24 11:22:27.620640,0
TID_96,ACCT_70,332.83,In-store,Amazon,Los Angeles,2025-07-05 11:22:27.620640,1
TID_97,ACCT_40,302.23,In-store,Target,Chicago,2025-06-23 11:22:27.620640,1
TID_98,ACCT_75,1809.87,Online,Target,Miami,2025-07-01 11:22:27.620640,1
TID_99,ACCT_48,336.54,In-store,Target,San Francisco,2025-07-02 11:22:27.620640,1
TID_100,ACCT_46,722.65,Online,Amazon,Chicago,2025-06-25 11:22:27.620640,1
TID_101,ACCT_19,591.73,In-store,Best Buy,Chicago,2025-06-17 11:22:27.620640,1
TID_102,ACCT_75,563.42,In-store,Amazon,New York,2025-06-27 11:22:27.620640,0
TID_103,ACCT_33,1450.29,In-store,Best Buy,San Francisco,2025-07-03 11:22:27.620640,1
TID_104,ACCT_33,1972.03,In-store,Amazon,New York,2025-06-17 11:22:27.620640,1
TID_105,ACCT_99,1566.39,Online,Walmart,Chicago,2025-07-03 11:22:27.620640,1
TID_106,ACCT_90,1977.1,Online,Amazon,Chicago,2025-07-03 11:22:27.620640,1
TID_107,ACCT_60,286.84,Online,Best Buy,Miami,2025-07-07 11:22:27.620640,1
TID_108,ACCT_9,154.23,Online,Walmart,Los Angeles,2025-07-04 11:22:27.620640,0
TID_109,ACCT_18,827.86,Online,Target,San Francisco,2025-06-23 11:22:27.620640,1
TID_110,ACCT_16,1414.11,Online,Target,Los Angeles,2025-07-04 11:22:27.620640,1
TID_111,ACCT_85,1464.8,In-store,Target,Los Angeles,2025-07-08 11:22:27.620640,0
